underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code,T,fittedPrices,midPrices,pricingError,ask_IV,bid_IV,mid_IV,r,delta,adj_bid_IV,adj_ask_IV,adj_mid_IV,Forward,m,mid_TIV,ask_TIV,bid_TIV,adj_mid_TIV,adj_ask_TIV,adj_bid_TIV
^SPX,2024-02-20,SPXW,2024-02-21,5150,P,179,180.5,172.5,172.5,6,2,180.6,100,183.3,4967.82,4969.27,0,4968.545,0.2954,-0.9888,4e-4,-0.2535,0.0816,-0.1348,3,176.6,2,177.3,4975.2,4976.63,175.95,1,NA,0.00278186962569516,181.00441118756135,181.95,-0.9455888124386433,0.42216719223297877,0.07621233768885331,0.36675155626367495,0.05878448621848276,0.00701771991789349,0.07621233768885331,0.24232564696679673,0.15926899232782502,4969.260563712257,0.0357256655731119,3.741801143706913e-4,4.957990984879962e-4,1.615799014157496e-5,7.056660719903522e-5,1.6335616694953598e-4,1.615799014157496e-5
^SPX,2024-02-20,SPXW,2024-02-21,5105,P,136.94,136.94,136.94,136.94,1,3,135.6,100,139.1,4967.82,4969.27,0,4968.545,0.2359,-0.9845,6e-4,-0.3033,0.1095,-0.1342,3,131.6,3,132.4,4975.2,4976.63,136.94,7,NA,0.00278186962569516,136.05440315183023,137.35,-1.2955968481697653,0.36059820267947423,0.0478110150813819,0.30726456659371854,0.05878448621848276,0.00701771991789349,0.18802685655457307,0.20243492866437107,0.19523089260947207,4969.260563712257,0.026949402514095847,2.626405227898681e-4,3.617294667143589e-4,6.3590567580458625e-6,1.0603124294587911e-4,1.1400074002917732e-4,9.835049355602653e-5
^SPX,2024-02-20,SPXW,2024-02-21,5120,P,142.6,142.6,140.82,140.82,4,3,150.6,100,154.1,4967.82,4969.27,0,4968.545,0.2632,-0.984,6e-4,-0.3532,0.1117,-0.1342,3,146.6,4,147.4,4975.2,4976.63,141.8875,2,NA,0.00278186962569516,151.10588388220185,152.35,-1.2441161177981428,0.3900651215262537,0.04968368745007917,0.3338408926170937,0.05878448621848276,0.00701771991789349,0.04968368745007917,0.22186103711293378,0.13577236228150646,4969.260563712257,0.02988338994888351,3.1003865090237394e-4,4.2326368635039747e-4,6.8669583729049275e-6,5.128135845067836e-5,1.3693007632679054e-4,6.8669583729049275e-6
^SPX,2024-02-20,SPXW,2024-02-21,5095,P,119.39,119.39,119.39,119.39,12,3,125.6,100,129.1,4967.82,4969.27,0,4968.545,0.2255,-0.9818,8e-4,-0.3532,0.1257,-0.1338,4,121.6,3,122.4,4975.2,4976.63,119.39,3,NA,0.00278186962569516,126.10483359335103,127.35,-1.2451664066489627,0.3406263406526102,0.04894709121536558,0.28928257576310795,0.05878448621848276,0.00701771991789349,0.175703445411589,0.18934268577368857,0.18252306559263878,4969.260563712257,0.024988617572155165,2.3279911454026245e-4,3.2277005073013163e-4,6.664852595282706e-6,9.267706709794368e-5,9.973184168505664e-5,8.58810465529562e-5
^SPX,2024-02-20,SPXW,2024-02-21,5090,P,108.94,114.1,108.1,114.1,3,3,120.6,100,124.1,4967.82,4969.27,0,4968.545,0.2179,-0.9812,8e-4,-0.3532,0.129,-0.1338,4,116.6,3,117.4,4975.2,4976.63,110.38,35,NA,0.00278186962569516,121.10516283098877,122.35,-1.2448371690112197,0.330533275253875,0.06185135699127749,0.2802051338465345,0.05878448621848276,0.00701771991789349,0.1695016498671202,0.18275081762317372,0.17612623374514697,4969.260563712257,0.024006781459898433,2.1841826286073316e-4,3.039255048256191e-4,1.064229362746094e-5,8.629484822362958e-5,9.290849603031736e-5,7.992536573466318e-5
^SPX,2024-02-20,SPXW,2024-02-21,5080,P,100.09,103.42,100.09,101.95,26,4,110.6,100,114.1,4967.82,4969.27,0,4968.545,0.2063,-0.9781,0.001,-0.403,0.1473,-0.1333,3,106.7,6,108,4975.2,4976.63,102.0827,14,NA,0.00278186962569516,111.15457657142179,112.35,-1.1954234285782093,0.310115056435295,0.04648251522050689,0.2618632240297867,0.05878448621848276,0.00701771991789349,0.1694690733175703,0.17799044578203943,0.17372975954980485,4969.260563712257,0.022040212487857643,1.9075933233996637e-4,2.6753615249725324e-4,6.0105748935661305e-6,8.39624706995987e-5,8.813129549687106e-5,7.989464694889165e-5
^SPX,2024-02-20,SPXW,2024-02-21,5075,P,87.15,102.08,87.15,102.08,6,4,105.6,100,109.1,4967.82,4969.27,0,4968.545,0.1985,-0.9774,0.001,-0.4031,0.1518,-0.1332,6,101.5,3,102.4,4975.2,4976.63,99.5917,55,NA,0.00278186962569516,106.15536624016113,107.35,-1.1946337598388652,0.29978168751106327,0.04553979497919651,0.252592225444752,0.05878448621848276,0.00701771991789349,0.1627762040304621,0.17103064887018524,0.1669034264503237,4969.260563712257,0.02105547582531796,1.7749116136206339e-4,2.500040087682948e-4,5.769244102469706e-6,7.749385715780202e-5,8.13738116551828e-5,7.37086751995589e-5
^SPX,2024-02-20,SPXW,2024-02-21,5065,P,82.71,106.42,82.71,91.67,64,3,95.7,100,98.4,4967.82,4969.27,0,4968.545,0.1826,-0.9757,0.0012,-0.403,0.1619,-0.133,6,91.5,4,92.5,4975.2,4976.63,89.4467,53,NA,0.00278186962569516,96.15482069315658,97.05000000000001,-0.8951793068434313,0.26263900958626574,0.049890583984160325,0.22391386958229795,0.05878448621848276,0.00701771991789349,0.15698819405556275,0.163085333044979,0.16003676355027086,4969.260563712257,0.019083088598113696,1.3947576856643948e-4,1.9189127858797351e-4,6.924269259301285e-6,7.124859302688203e-5,7.398890198423609e-5,6.855999221565288e-5
^SPX,2024-02-20,SPXW,2024-02-21,5070,P,88.38,106.7,88.38,101.52,64,3,100.7,100,104.2,4967.82,4969.27,0,4968.545,0.194,-0.9746,0.0012,-0.4529,0.1672,-0.1329,6,96.5,4,97.5,4975.2,4976.63,101.1105,21,NA,0.00278186962569516,101.20614322964775,102.45,-1.2438567703522523,0.2915927762768193,0.0440385118366293,0.2464182206283458,0.05878448621848276,0.00701771991789349,0.15604640375859136,0.17033892048698593,0.16319266212278866,4969.260563712257,0.02006976850055876,1.689205189905096e-4,2.3653221259501596e-4,5.395131593260222e-6,7.408632060027581e-5,8.071691481468938e-5,6.773986103358336e-5
^SPX,2024-02-20,SPXW,2024-02-21,5060,P,81.18,101.64,81.18,86.3,27,4,90.7,100,93.4,4967.82,4969.27,0,4968.545,0.1777,-0.9726,0.0014,-0.4529,0.1786,-0.1326,6,86.5,3,87.5,4975.2,4976.63,91.2904,99,NA,0.00278186962569516,91.2040468919713,92.05000000000001,-0.8459531080287093,0.2524049764685067,0.04862413715535411,0.21468453594688605,0.05878448621848276,0.00701771991789349,0.1499010117809759,0.16075004270298932,0.15532552724198262,4969.260563712257,0.0180954341968412,1.282148409496975e-4,1.7722810718866602e-4,6.5771930337894024e-6,6.71154405939562e-5,7.188511412195137e-5,6.25094821408152e-5
